zip_code,latitude,longitude,city,state,county
96762,21.61095,-157.90205,Laie,HI,Honolulu
78364,27.421023,-97.882432,Kingsville,TX,Kleberg
78363,27.422876,-97.84068,Kingsville,TX,Kleberg
33834,27.601936,-81.85069,Bowling Green,FL,Hardee
33527,27.975742,-82.240415,Dover,FL,Hillsborough
33556,28.128688,-82.584113,Odessa,FL,Hillsborough
32768,28.698542,-81.569764,Plymouth,FL,Orange
34484,28.905906,-82.061193,Oxford,FL,Sumter
32702,29.059052,-81.581964,Altoona,FL,Lake
77406,29.50401,-95.919107,Richmond,TX,Fort Bend
77469,29.555831,-95.788479,Richmond,TX,Fort Bend
78934,29.69632,-96.592531,Columbus,TX,Colorado
32658,29.826139,-82.416024,La Crosse,FL,Alachua
32356,29.853852,-83.442125,Salem,FL,Taylor
77356,30.354902,-95.49833,Montgomery,TX,Montgomery
77316,30.358652,-95.685746,Montgomery,TX,Montgomery
32321,30.419284,-84.97804,Bristol,FL,Liberty
31646,30.434346,-82.165527,Saint George,GA,Charlton
76842,30.719628,-99.224184,Fredonia,TX,Mason
31792,30.825551,-83.950795,Thomasville,GA,Thomas
31757,30.853592,-83.888269,Thomasville,GA,Thomas
31758,30.868187,-83.927785,Thomasville,GA,Thomas
31799,30.880968,-83.885902,Thomasville,GA,Thomas
76534,30.887588,-97.418108,Holland,TX,Bell
76513,30.983551,-97.521848,Belton,TX,Bell
36476,31.260882,-86.444833,River Falls,AL,Covington
39653,31.469888,-90.891482,Meadville,MS,Franklin
31518,31.483312,-82.214987,Bristol,GA,Pierce
76538,31.559947,-97.845634,Jonesboro,TX,Coryell
76531,31.671399,-98.107585,Hamilton,TX,Hamilton
71454,31.671495,-92.660865,Montgomery,LA,Grant
71457,31.70988,-93.109141,Natchitoches,LA,Natchitoches
36784,31.745135,-87.769476,Thomasville,AL,Clarke
79769,31.746572,-102.566993,Odessa,TX,Ector
71458,31.747563,-93.079055,Natchitoches,LA,Natchitoches
79760,31.765163,-102.354346,Odessa,TX,Ector
79766,31.769701,-102.345518,Odessa,TX,Ector
79763,31.796965,-102.440113,Odessa,TX,Ector
79761,31.854178,-102.35022,Odessa,TX,Ector
79768,31.869142,-102.542944,Odessa,TX,Ector
79765,31.880682,-102.347889,Odessa,TX,Ector
79764,31.88967,-102.482783,Odessa,TX,Ector
79762,31.893906,-102.353839,Odessa,TX,Ector
71366,31.919051,-91.239631,Saint Joseph,LA,Tensas
31321,32.009967,-81.514752,Pembroke,GA,Bryan
71002,32.137843,-93.090606,Ashland,LA,Natchitoches
88005,32.167296,-106.897176,Las Cruces,NM,Dona Ana
75751,32.188097,-95.882391,Athens,TX,Henderson
88029,32.221057,-107.588344,Columbus,NM,Luna
36105,32.22558,-86.290586,Montgomery,AL,Montgomery
75762,32.226635,-95.390166,Flint,TX,Smith
71251,32.228472,-92.575528,Jonesboro,LA,Jackson
36102,32.233377,-86.208528,Montgomery,AL,Montgomery
88003,32.273778,-106.747176,Las Cruces,NM,Dona Ana
36116,32.285501,-86.228765,Montgomery,AL,Montgomery
79608,32.302132,-99.890737,Abilene,TX,Taylor
79606,32.303126,-99.908645,Abilene,TX,Taylor
88006,32.305193,-106.786259,Las Cruces,NM,Dona Ana
88011,32.324407,-106.668287,Las Cruces,NM,Dona Ana
88012,32.329638,-106.604677,Las Cruces,NM,Dona Ana
36108,32.340688,-86.37382,Montgomery,AL,Montgomery
36111,32.342438,-86.267317,Montgomery,AL,Montgomery
79602,32.342605,-99.694283,Abilene,TX,Taylor
79601,32.344457,-99.80213,Abilene,TX,Taylor
36103,32.346158,-86.287316,Montgomery,AL,Montgomery
36106,32.353338,-86.257517,Montgomery,AL,Montgomery
